t_opt,N_max,p,ASN,P50,P90,P_accept,P_reject,P_undecided,mass_residual,status
50,1600,0.13,868.2000719319725,811,1600,0.000954528169133923,0.8344868704198171,0.16455860141104955,4.440892098500626e-16,SUCCESS_EXACT
50,1600,0.15,371.3914469146176,316,708,0.00013693049039282908,0.9990824110191574,0.0007806584904388148,1.0880185641326534e-14,SUCCESS_EXACT
50,1600,0.2,118.64645104068566,105,208,1.6356936603932663e-06,0.9999983643063449,1.657159997932829e-16,5.551115123125783e-15,SUCCESS_EXACT
50,1600,0.3,45.04273365844278,42,71,2.7250881518733456e-10,0.9999999997274871,0.0,4.107825191113079e-15,SUCCESS_EXACT
50,3200,0.01,73.66672916026629,62,94,0.9999999999999594,4.0003284860047154e-14,0.0,6.661338147750939e-16,SUCCESS_EXACT
50,3200,0.03,113.37081873885232,109,180,0.9999999981639593,1.836036503608133e-09,0.0,4.107825191113079e-15,SUCCESS_EXACT
50,3200,0.05,212.01038297337305,180,378,0.999999479890747,5.201092432394513e-07,0.0,9.769962616701378e-15,SUCCESS_EXACT
50,3200,0.07,601.3715999418274,491,1226,0.9996682980461533,3.469890422644329e-05,0.0002970030495860434,3.419486915845482e-14,SUCCESS_EXACT
50,3200,0.08,1364.9462422217994,1157,3082,0.9105405705730074,0.00022696536072891514,0.08923246406632031,5.6621374255882984e-14,SUCCESS_EXACT
50,3200,0.09,2598.6869046179618,3200,3200,0.3234505759331332,0.001498059315646206,0.6750513647512931,7.260858581048524e-14,SUCCESS_EXACT
50,3200,0.1,3054.4684678969893,3200,3200,0.04247898281742304,0.014184783068502677,0.9433362341141577,8.348877145181177e-14,SUCCESS_EXACT
50,3200,0.11,2847.9862005735527,3200,3200,0.009049171646940945,0.1977802750130051,0.7931705533400939,3.9968028886505635e-14,SUCCESS_EXACT
50,3200,0.12,1858.124758305819,1826,3200,0.0027576040810166585,0.7752409497228442,0.22200144619614015,8.881784197001252e-16,SUCCESS_EXACT
50,3200,0.13,957.7447689239989,811,1901,0.0009545281999258693,0.9904513590022529,0.008594112797822146,8.881784197001252e-16,SUCCESS_EXACT
50,3200,0.15,371.5188656913922,316,708,0.00013693049039282908,0.99986304995104,1.955855625553209e-08,1.0880185641326534e-14,SUCCESS_EXACT
50,3200,0.2,118.64645104068566,105,208,1.6356936603932663e-06,0.9999983643063449,0.0,5.329070518200751e-15,SUCCESS_EXACT
50,3200,0.3,45.04273365844278,42,71,2.7250881518733456e-10,0.9999999997274871,0.0,4.107825191113079e-15,SUCCESS_EXACT
100,100,0.01,90.00751348090202,95,100,0.7579629552662963,7.332258154112532e-18,0.24203704473370308,6.661338147750939e-16,SUCCESS_EXACT
100,100,0.03,97.69475838574894,100,100,0.2235456469079301,1.3405906762489672e-11,0.7764543530786612,2.7755575615628914e-15,SUCCESS_EXACT
